
./streamcluster 50 100 250 10000 1 10000 myin myout 2

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 82.98     16.75    16.75    24508     0.00     0.00  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
 16.76     20.13     3.38   251412     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.30     20.19     0.06       14     0.00     0.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.00     20.19     0.00    19991     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00     20.19     0.00    10001     0.00     0.00  contcenters(Points*)
  0.00     20.19     0.00    10001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00     20.19     0.00    10001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     20.19     0.00    10001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     20.19     0.00    10000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00     20.19     0.00    10000     0.00     0.00  SimStream::feof()
  0.00     20.19     0.00    10000     0.00     0.00  SimStream::read(float*, int, int)
  0.00     20.19     0.00    10000     0.00     0.00  SimStream::ferror()
  0.00     20.19     0.00        9     0.00     2.18  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00     20.19     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     20.19     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     20.19     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)


./streamcluster 50 100 250 5000 1 5000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 98.92     15.04    15.04    11048     0.00     0.00  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  1.12     15.21     0.17        7     0.02     0.02  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.00     15.21     0.00   109722     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00     15.21     0.00     5001     0.00     0.00  contcenters(Points*)
  0.00     15.21     0.00     5001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00     15.21     0.00     5001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     15.21     0.00     5001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     15.21     0.00     5001     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00     15.21     0.00     5000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00     15.21     0.00     5000     0.00     0.00  SimStream::feof()
  0.00     15.21     0.00     5000     0.00     0.00  SimStream::read(float*, int, int)
  0.00     15.21     0.00     5000     0.00     0.00  SimStream::ferror()
  0.00     15.21     0.00        7     0.00     2.15  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00     15.21     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     15.21     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     15.21     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 50 100 250 5000 2 5000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 98.81     15.34    15.34    11048     0.00     0.00  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  1.10     15.51     0.17        7     0.02     0.02  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.06     15.52     0.01   104722     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.06     15.53     0.01     2500     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00     15.53     0.00     2501     0.00     0.00  contcenters(Points*)
  0.00     15.53     0.00     2501     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00     15.53     0.00     2501     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     15.53     0.00     2501     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     15.53     0.00     2501     0.00     0.01  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00     15.53     0.00     2500     0.00     0.00  SimStream::feof()
  0.00     15.53     0.00     2500     0.00     0.00  SimStream::read(float*, int, int)
